time 1	time 2	time 3	time 4	time 5	time 6	time 7	time 8	time 9	time 10	R (Ohm)	C (F)	L (H)
1.157E+2	1.827E+2	2.288E+2	2.100E+2	1.903E+2	1.947E+2	2.026E+2	2.021E+2	1.990E+2	1.989E+2	2.000E-1	3.000E-8	5.000E-4
2.253E+2	1.961E+2	1.898E+2	2.007E+2	2.037E+2	1.987E+2	1.983E+2	2.004E+2	2.004E+2	1.995E+2	2.000E-1	3.000E-8	5.000E-5
1.924E+2	2.028E+2	1.999E+2	1.994E+2	2.006E+2	1.997E+2	1.996E+2	1.996E+2	1.997E+2	1.997E+2	2.000E-1	3.000E-8	5.000E-6
2.001E+2	1.996E+2	1.998E+2	1.998E+2	1.998E+2	1.998E+2	1.998E+2	1.998E+2	1.998E+2	1.998E+2	2.000E-1	3.000E-8	5.000E-7
1.998E+2	1.998E+2	1.998E+2	1.998E+2	1.998E+2	1.998E+2	1.998E+2	1.998E+2	1.998E+2	1.998E+2	2.000E-1	3.000E-8	5.000E-8
1.877E+2	1.996E+2	1.998E+2	1.998E+2	1.998E+2	1.998E+2	1.998E+2	1.998E+2	1.998E+2	1.998E+2	2.000E-1	3.000E-9	5.000E-4
1.989E+2	2.000E+2	1.998E+2	1.998E+2	1.998E+2	1.998E+2	1.998E+2	1.998E+2	1.998E+2	1.998E+2	2.000E-1	3.000E-9	5.000E-5
2.005E+2	1.998E+2	1.998E+2	1.998E+2	1.997E+2	1.999E+2	1.998E+2	1.998E+2	1.998E+2	1.998E+2	2.000E-1	3.000E-9	5.000E-6
1.997E+2	1.998E+2	1.997E+2	1.997E+2	1.998E+2	1.999E+2	1.999E+2	1.998E+2	1.998E+2	1.997E+2	2.000E-1	3.000E-9	5.000E-7
1.998E+2	1.998E+2	1.998E+2	1.998E+2	1.998E+2	1.998E+2	1.998E+2	1.998E+2	1.998E+2	1.998E+2	2.000E-1	3.000E-9	5.000E-8
1.826E+2	1.984E+2	1.997E+2	1.998E+2	1.998E+2	1.998E+2	1.998E+2	1.998E+2	1.998E+2	1.998E+2	2.000E-1	3.000E-10	5.000E-4
1.998E+2	1.998E+2	1.998E+2	1.998E+2	1.998E+2	1.998E+2	1.998E+2	1.998E+2	1.998E+2	1.998E+2	2.000E-1	3.000E-10	5.000E-5
1.997E+2	1.998E+2	1.998E+2	1.999E+2	1.998E+2	1.998E+2	1.998E+2	1.998E+2	1.998E+2	1.998E+2	2.000E-1	3.000E-10	5.000E-6
1.999E+2	1.999E+2	1.999E+2	1.998E+2	1.998E+2	1.998E+2	1.997E+2	1.997E+2	1.997E+2	1.997E+2	2.000E-1	3.000E-10	5.000E-7
1.997E+2	1.997E+2	1.997E+2	1.997E+2	1.997E+2	1.997E+2	1.997E+2	1.998E+2	1.998E+2	1.998E+2	2.000E-1	3.000E-10	5.000E-8
1.982E+2	1.962E+2	1.944E+2	1.928E+2	1.913E+2	1.900E+2	1.890E+2	1.883E+2	1.879E+2	1.877E+2	1.000E-1	3.000E-6	5.000E-4
1.982E+2	1.967E+2	1.960E+2	1.962E+2	1.973E+2	1.990E+2	2.008E+2	2.024E+2	2.034E+2	2.035E+2	1.000E-1	3.000E-6	5.000E-5
1.987E+2	1.996E+2	2.009E+2	2.002E+2	1.990E+2	1.996E+2	2.007E+2	2.002E+2	1.992E+2	1.996E+2	1.000E-1	3.000E-6	5.000E-6
2.001E+2	1.999E+2	1.998E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.000E-1	3.000E-6	5.000E-7
1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.000E-1	3.000E-6	5.000E-8
1.827E+2	1.698E+2	1.649E+2	1.683E+2	1.784E+2	1.923E+2	2.066E+2	2.181E+2	2.243E+2	2.245E+2	1.000E-1	3.000E-7	5.000E-4
1.877E+2	1.986E+2	2.107E+2	2.017E+2	1.903E+2	1.977E+2	2.084E+2	2.023E+2	1.924E+2	1.973E+2	1.000E-1	3.000E-7	5.000E-5
2.036E+2	1.993E+2	1.969E+2	1.995E+2	2.023E+2	2.011E+2	1.982E+2	1.992E+2	2.012E+2	2.010E+2	1.000E-1	3.000E-7	5.000E-6
1.992E+2	2.002E+2	1.999E+2	1.998E+2	2.000E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.000E-1	3.000E-7	5.000E-7
1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.000E-1	3.000E-7	5.000E-8
1.157E+2	1.828E+2	2.290E+2	2.101E+2	1.904E+2	1.948E+2	2.028E+2	2.022E+2	1.991E+2	1.990E+2	1.000E-1	3.000E-8	5.000E-4
2.255E+2	1.961E+2	1.898E+2	2.011E+2	2.036E+2	2.007E+2	1.983E+2	1.997E+2	2.006E+2	1.999E+2	1.000E-1	3.000E-8	5.000E-5
1.922E+2	2.032E+2	1.982E+2	1.999E+2	2.009E+2	1.996E+2	1.996E+2	1.997E+2	1.999E+2	1.998E+2	1.000E-1	3.000E-8	5.000E-6
2.003E+2	1.999E+2	2.001E+2	2.000E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.000E-1	3.000E-8	5.000E-7
1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.000E-1	3.000E-8	5.000E-8
1.802E+2	1.996E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.000E-1	3.000E-9	5.000E-4
1.988E+2	2.000E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.000E-1	3.000E-9	5.000E-5
2.007E+2	1.998E+2	1.998E+2	2.000E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.000E-1	3.000E-9	5.000E-6
2.001E+2	1.998E+2	2.000E+2	1.998E+2	1.999E+2	1.999E+2	2.000E+2	1.999E+2	1.999E+2	1.998E+2	1.000E-1	3.000E-9	5.000E-7
1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.000E-1	3.000E-9	5.000E-8
1.816E+2	1.984E+2	1.998E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.000E-1	3.000E-10	5.000E-4
1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.000E-1	3.000E-10	5.000E-5
1.998E+2	1.999E+2	2.000E+2	2.000E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.000E-1	3.000E-10	5.000E-6
2.000E+2	2.000E+2	2.000E+2	2.000E+2	2.000E+2	1.999E+2	1.999E+2	1.998E+2	1.998E+2	1.998E+2	1.000E-1	3.000E-10	5.000E-7
1.998E+2	1.998E+2	1.998E+2	1.998E+2	1.998E+2	1.998E+2	1.998E+2	1.998E+2	1.998E+2	1.998E+2	1.000E-1	3.000E-10	5.000E-8
1.982E+2	1.962E+2	1.944E+2	1.928E+2	1.913E+2	1.900E+2	1.890E+2	1.883E+2	1.879E+2	1.877E+2	5.000E-2	3.000E-6	5.000E-4
1.982E+2	1.967E+2	1.960E+2	1.962E+2	1.973E+2	1.990E+2	2.009E+2	2.025E+2	2.035E+2	2.037E+2	5.000E-2	3.000E-6	5.000E-5
1.987E+2	1.997E+2	2.011E+2	2.002E+2	1.989E+2	1.997E+2	2.009E+2	2.003E+2	1.991E+2	1.996E+2	5.000E-2	3.000E-6	5.000E-6
2.002E+2	1.999E+2	1.998E+2	2.000E+2	2.000E+2	2.000E+2	1.999E+2	1.999E+2	2.000E+2	2.000E+2	5.000E-2	3.000E-6	5.000E-7
1.999E+2	1.999E+2	1.999E+2	2.000E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	5.000E-2	3.000E-6	5.000E-8
1.827E+2	1.698E+2	1.649E+2	1.683E+2	1.784E+2	1.924E+2	2.067E+2	2.182E+2	2.245E+2	2.247E+2	5.000E-2	3.000E-7	5.000E-4
1.877E+2	1.987E+2	2.109E+2	2.017E+2	1.902E+2	1.978E+2	2.086E+2	2.024E+2	1.923E+2	1.973E+2	5.000E-2	3.000E-7	5.000E-5
2.036E+2	2.000E+2	1.967E+2	1.999E+2	2.026E+2	2.008E+2	1.976E+2	1.982E+2	2.019E+2	2.009E+2	5.000E-2	3.000E-7	5.000E-6
1.990E+2	2.004E+2	1.998E+2	1.999E+2	2.001E+2	1.998E+2	2.000E+2	2.000E+2	1.999E+2	1.999E+2	5.000E-2	3.000E-7	5.000E-7
2.000E+2	2.000E+2	1.999E+2	1.999E+2	2.000E+2	2.000E+2	1.999E+2	2.000E+2	1.999E+2	2.000E+2	5.000E-2	3.000E-7	5.000E-8
1.157E+2	1.829E+2	2.291E+2	2.102E+2	1.904E+2	1.949E+2	2.028E+2	2.022E+2	1.992E+2	1.990E+2	5.000E-2	3.000E-8	5.000E-4
2.257E+2	1.962E+2	1.898E+2	2.012E+2	2.037E+2	2.007E+2	1.983E+2	1.998E+2	2.007E+2	1.999E+2	5.000E-2	3.000E-8	5.000E-5
1.921E+2	2.044E+2	1.981E+2	1.992E+2	2.011E+2	1.995E+2	1.996E+2	2.002E+2	2.001E+2	2.000E+2	5.000E-2	3.000E-8	5.000E-6
2.001E+2	2.008E+2	1.997E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	2.000E+2	2.000E+2	5.000E-2	3.000E-8	5.000E-7
1.999E+2	1.999E+2	1.999E+2	1.999E+2	2.000E+2	1.999E+2	1.999E+2	2.000E+2	2.000E+2	2.000E+2	5.000E-2	3.000E-8	5.000E-8
1.796E+2	1.996E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	5.000E-2	3.000E-9	5.000E-4
1.990E+2	1.998E+2	2.000E+2	2.000E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	5.000E-2	3.000E-9	5.000E-5
2.007E+2	1.999E+2	2.000E+2	2.000E+2	1.999E+2	2.000E+2	1.999E+2	2.000E+2	1.999E+2	2.000E+2	5.000E-2	3.000E-9	5.000E-6
1.999E+2	2.000E+2	1.999E+2	2.000E+2	2.000E+2	1.999E+2	1.999E+2	1.999E+2	2.000E+2	2.000E+2	5.000E-2	3.000E-9	5.000E-7
2.000E+2	1.999E+2	2.000E+2	2.000E+2	2.000E+2	2.000E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	5.000E-2	3.000E-9	5.000E-8
1.817E+2	1.984E+2	1.998E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	5.000E-2	3.000E-10	5.000E-4
1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	5.000E-2	3.000E-10	5.000E-5
1.998E+2	1.999E+2	2.000E+2	2.000E+2	2.000E+2	2.000E+2	1.999E+2	1.999E+2	1.999E+2	2.000E+2	5.000E-2	3.000E-10	5.000E-6
2.001E+2	2.000E+2	2.000E+2	1.999E+2	1.999E+2	1.999E+2	1.998E+2	1.998E+2	1.998E+2	1.998E+2	5.000E-2	3.000E-10	5.000E-7
1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	1.999E+2	5.000E-2	3.000E-10	5.000E-8
